iter	Passed	Remaining
0	59	5880
1	59	2930
2	59	1938
3	60	1442
4	60	1146
5	60	949
6	60	807
7	60	700
8	61	616
9	61	549
10	61	494
11	61	449
12	61	411
13	61	378
14	61	349
15	61	324
16	61	302
17	62	283
18	62	265
19	62	249
20	62	234
21	62	221
22	62	209
23	62	198
24	62	188
25	63	179
26	63	170
27	63	162
28	63	155
29	63	148
30	64	143
31	64	137
32	65	132
33	65	126
34	65	121
35	66	117
36	66	113
37	66	108
38	67	105
39	67	101
40	67	97
41	68	94
42	68	90
43	68	86
44	68	83
45	68	80
46	68	77
47	69	75
48	69	72
49	69	69
50	70	67
51	70	64
52	70	62
53	70	60
54	70	57
55	70	55
56	70	53
57	71	51
58	71	49
59	71	47
60	71	45
61	71	43
62	71	42
63	71	40
64	71	38
65	72	37
66	73	36
67	73	34
68	73	33
69	73	31
70	74	30
71	74	28
72	74	27
73	74	26
74	74	24
75	74	23
76	74	22
77	74	21
78	75	20
79	76	19
80	76	17
81	76	16
82	76	15
83	76	14
84	76	13
85	77	12
86	77	11
87	77	10
88	77	9
89	77	8
90	77	7
91	77	6
92	77	5
93	77	4
94	78	4
95	78	3
96	78	2
97	78	1
98	78	0
99	78	0
